site_id,meter_id,timestamp,sensor_name,sensor_value,status
Site_A,Site_A_Meter_1,2023-12-01 00:00:00,power_consumption,67.53,active
Site_A,Site_A_Meter_1,2023-12-01 00:05:00,humidity,69.46,error
Site_A,Site_A_Meter_1,2023-12-01 00:10:00,power_consumption,65.72,active
Site_A,Site_A_Meter_1,2023-12-01 00:15:00,power_consumption,40.63,error
Site_A,Site_A_Meter_1,2023-12-01 00:20:00,power_consumption,26.25,active
Site_A,Site_A_Meter_1,2023-12-01 00:25:00,humidity,69.49,active
Site_A,Site_A_Meter_1,2023-12-01 00:30:00,power_consumption,69.62,inactive
Site_A,Site_A_Meter_1,2023-12-01 00:35:00,humidity,55.45,inactive
Site_A,Site_A_Meter_1,2023-12-01 00:40:00,temperature,21.32,active
Site_A,Site_A_Meter_1,2023-12-01 00:45:00,humidity,80.89,error
Site_A,Site_A_Meter_1,2023-12-01 00:50:00,power_consumption,56.33,inactive
Site_A,Site_A_Meter_1,2023-12-01 00:55:00,humidity,26.85,error
Site_A,Site_A_Meter_1,2023-12-01 01:00:00,power_consumption,35.62,active
Site_A,Site_A_Meter_1,2023-12-01 01:05:00,power_consumption,95.05,inactive
Site_A,Site_A_Meter_1,2023-12-01 01:10:00,power_consumption,31.12,error
Site_A,Site_A_Meter_1,2023-12-01 01:15:00,power_consumption,29.88,inactive
Site_A,Site_A_Meter_1,2023-12-01 01:20:00,humidity,76.98,error
Site_A,Site_A_Meter_1,2023-12-01 01:25:00,power_consumption,66.6,active
Site_A,Site_A_Meter_1,2023-12-01 01:30:00,temperature,34.32,error
Site_A,Site_A_Meter_1,2023-12-01 01:35:00,power_consumption,30.36,inactive
Site_A,Site_A_Meter_1,2023-12-01 01:40:00,power_consumption,26.78,inactive
Site_A,Site_A_Meter_1,2023-12-01 01:45:00,power_consumption,30.97,error
Site_A,Site_A_Meter_1,2023-12-01 01:50:00,humidity,51.92,active
Site_A,Site_A_Meter_1,2023-12-01 01:55:00,temperature,21.17,error
Site_A,Site_A_Meter_1,2023-12-01 02:00:00,temperature,20.4,inactive
Site_A,Site_A_Meter_1,2023-12-01 02:05:00,humidity,67.56,error
Site_A,Site_A_Meter_1,2023-12-01 02:10:00,humidity,53.05,error
Site_A,Site_A_Meter_1,2023-12-01 02:15:00,temperature,17.5,inactive
Site_A,Site_A_Meter_1,2023-12-01 02:20:00,power_consumption,32.59,inactive
Site_A,Site_A_Meter_1,2023-12-01 02:25:00,humidity,59.29,error
Site_A,Site_A_Meter_1,2023-12-01 02:30:00,power_consumption,23.58,active
Site_A,Site_A_Meter_1,2023-12-01 02:35:00,power_consumption,85.75,inactive
Site_A,Site_A_Meter_1,2023-12-01 02:40:00,temperature,19.13,error
Site_A,Site_A_Meter_1,2023-12-01 02:45:00,temperature,21.45,inactive
Site_A,Site_A_Meter_1,2023-12-01 02:50:00,temperature,34.22,inactive
Site_A,Site_A_Meter_1,2023-12-01 02:55:00,temperature,21.83,error
Site_A,Site_A_Meter_1,2023-12-01 03:00:00,power_consumption,86.49,active
